rank,price,disc_price,persen_disc,review_data,percent_review,total_review
1,0,0,0,2,87,8056087
2,879000,879000,0,2,88,8861
3,699999,349999,50,2,83,653117
4,0,0,0,2,81,2239030
5,599000,599000,0,2,92,603817
6,579000,579000,0,4,73,637090
7,245999,245999,0,2,94,32775
8,0,0,0,2,80,594135
9,0,0,0,5,58,2360919
10,284999,256499,10,2,88,76964
11,0,0,0,4,77,827352
12,349999,297499,15,2,89,14320
13,401000,153600,61,2,87,1638517
14,284999,284999,0,5,66,38061
15,199999,9999,95,2,88,78076
16,229000,229000,0,2,85,1089309
17,149000,149000,0,2,80,522756
18,0,0,0,2,87,575837
19,0,0,0,4,75,489502
20,759000,759000,0,5,56,61681
21,0,0,0,6,32,34193
22,1050000,1050000,0,6,32,9095
23,266000,266000,0,2,83,238243
24,619000,92850,85,2,89,138286
25,359999,90000,74,1,96,706197
26,379000,379000,0,2,90,281774
27,211000,189900,10,1,96,6659
28,619000,123800,80,4,70,19678
29,266000,266000,0,2,83,120395
30,289999,289999,0,2,87,872066
31,119999,59999,50,1,96,182751
32,1050000,1050000,0,4,70,16591
33,536999,161099,70,2,91,206839
34,0,0,0,4,75,222414
35,149999,89999,40,2,94,66390
36,648999,648999,0,5,65,69963
37,172700,172700,0,1,95,302764
38,599000,599000,0,10,0,0
39,48999,14699,70,4,76,54594
40,108999,54499,50,2,94,385531
41,0,0,0,4,77,138973
42,265000,132500,50,2,91,9739
43,130999,130999,0,1,97,2880
44,449999,134999,70,2,88,22244
45,149999,74999,50,1,97,129499
46,90999,90999,0,1,97,319016
47,245999,245999,0,2,86,171998
48,879000,527400,40,2,89,6019
49,619000,92850,85,2,86,92199
50,165999,149399,10,1,98,1497
51,165999,165999,0,2,91,159
52,245999,245999,0,1,95,5383
53,245999,245999,0,2,93,258052
54,640000,640000,0,2,91,526435
55,255999,255999,0,2,88,136999
56,870000,609000,30,2,92,26276
57,0,0,0,5,56,37454
58,699000,699000,0,2,88,162475
59,239999,239999,0,2,86,44249
60,245999,245999,0,4,77,4801
61,0,0,0,2,93,1045237
62,830999,830999,0,2,86,24231
63,338999,338999,0,5,59,1903
64,891000,891000,0,2,87,124025
65,89999,89999,0,1,96,549927
66,0,0,0,9,18,265929
67,37999,37999,0,10,0,0
68,690000,138000,80,2,89,21966
69,845999,676799,20,5,58,47335
70,745000,745000,0,10,0,0
71,206999,206999,0,1,97,227509
72,89999,89999,0,1,96,165908
73,89999,31499,65,1,97,271297
74,206999,103499,50,2,80,1954
75,135999,135999,0,2,93,265234
76,206999,206999,0,2,85,3262
77,130000,45500,65,1,96,31270
78,206999,206999,0,1,98,237406
79,0,0,0,4,75,163314
80,879000,879000,0,2,90,8165
81,329999,329999,0,2,94,160126
82,619000,92850,85,2,82,66429
83,409000,122700,70,2,88,57589
84,0,0,0,2,89,60510
85,635999,381599,40,2,84,35320
86,0,0,0,5,58,572011
87,165999,165999,0,2,92,95211
88,0,0,0,4,79,139565
89,515000,515000,0,2,80,72087
90,90999,90999,0,1,97,1024004
91,699000,699000,0,4,70,20102
92,80999,52649,35,2,86,4536
93,1043999,1043999,0,5,60,61021
94,0,0,0,2,89,220620
95,550000,550000,0,4,76,322861
96,427000,341600,20,4,72,12403
97,130999,104799,20,2,88,485
98,0,0,0,5,61,21924
99,0,0,0,4,79,72382
100,334999,334999,0,2,88,263459
101,0,0,0,4,74,216823
102,0,0,0,4,79,117167
103,371999,167400,54,2,82,156659
104,119999,119999,0,2,88,215558
105,69999,69999,0,2,91,58399
106,205000,205000,0,4,76,34697
107,299000,299000,0,5,66,12
108,349000,69800,80,2,84,24361
109,108999,87199,20,2,98,427
110,44999,44999,0,1,98,218553
111,459000,459000,0,2,90,56021
112,879000,527400,40,2,81,3863
113,849000,849000,0,4,79,126676
114,666499,666499,0,4,70,234847
115,891000,891000,0,1,95,204551
116,95999,95999,0,1,95,307311
117,206999,186299,10,2,96,325
118,299999,299999,0,2,93,41282
119,575000,575000,0,10,0,0
120,130999,130999,0,2,83,518261
121,28999,28999,0,1,95,19058
122,95999,95999,0,1,97,258414
123,799000,799000,0,2,91,189517
124,0,0,0,5,61,22185
125,89999,89999,0,1,96,916851
126,349000,349000,0,5,69,88647
127,0,0,0,4,78,2758
128,210000,63000,70,2,81,133257
129,379999,379999,0,5,67,11184
130,0,0,0,2,82,363279
131,349999,349999,0,6,30,7826
132,108999,108999,0,2,94,126771
133,330000,330000,0,4,78,22418
134,459000,160650,65,4,74,6114
135,165999,129479,22,2,93,16673
136,595999,595999,0,1,97,86559
137,130999,130999,0,2,89,39269
138,408000,408000,0,5,59,159
139,579000,579000,0,2,89,29781
140,659000,659000,0,5,46,201814
141,97000,97000,0,2,87,779
142,0,0,0,2,82,31890
143,209999,209999,0,2,83,131535
144,149999,149999,0,2,89,92192
145,0,0,0,2,83,23400
146,0,0,0,2,85,76356
147,759000,759000,0,5,61,98054
148,325000,65000,80,2,94,101120
149,284999,284999,0,2,82,15214
150,97000,97000,0,2,90,892
151,619000,92850,85,5,58,7184
152,165999,165999,0,1,97,90989
153,548900,548900,0,2,91,34394
154,229000,34350,85,4,76,37280
155,90999,90999,0,1,97,642290
156,284999,284999,0,4,77,84290
157,619000,123800,80,2,83,60014
158,439999,439999,0,5,67,77898
159,165999,82999,50,1,95,23751
160,641000,641000,0,4,70,3787
161,90999,72799,20,2,88,777
162,90999,72799,20,2,85,22294
163,245999,245999,0,1,95,66058
164,206999,206999,0,1,98,100673
165,130999,39299,70,1,95,70002
166,164900,164900,0,2,80,36333
167,599000,599000,0,2,90,52682
168,976000,107360,89,2,85,56481
169,879000,879000,0,4,71,29942
170,399999,399999,0,2,84,78919
171,97000,97000,0,2,92,656
172,599000,599000,0,2,92,205942
173,165999,165999,0,2,93,18195
174,479000,479000,0,2,94,141171
175,245999,245999,0,4,70,12794
176,139999,139999,0,1,97,230717
177,549000,549000,0,2,88,189407
178,90999,90999,0,2,96,188
179,109999,109999,0,3,97,34
180,891000,891000,0,2,86,19024
181,499000,149700,70,2,87,6542
182,399999,399999,0,2,91,151548
183,165999,165999,0,1,98,1402
184,459000,68850,85,4,70,2541
185,350000,350000,0,1,96,243519
186,540999,540999,0,2,93,82803
187,135999,13599,90,1,96,36903
188,108999,108999,0,1,95,457669
189,245999,245999,0,2,85,21735
190,42999,42999,0,2,92,600574
191,362000,362000,0,4,74,82173
192,249999,249999,0,4,78,67680
193,108999,76299,30,1,96,15792
194,130999,98249,25,2,90,23118
195,0,0,0,4,70,170725
196,199000,199000,0,5,55,485
197,270000,270000,0,6,37,3272
198,135999,135999,0,1,96,142444
199,466084,466084,0,5,56,447
200,139999,139999,0,2,91,29357
