rank,price,disc_price,persen_disc
1,0,0,0
2,879000,879000,0
3,699999,349999,50
4,0,0,0
5,599000,599000,0
6,579000,579000,0
7,245999,245999,0
8,0,0,0
9,0,0,0
10,284999,256499,10
11,0,0,0
12,349999,297499,15
13,401000,153600,61
14,284999,284999,0
15,199999,9999,95
16,229000,229000,0
17,149000,149000,0
18,0,0,0
19,0,0,0
20,759000,759000,0
21,0,0,0
22,1050000,1050000,0
23,266000,266000,0
24,619000,92850,85
25,359999,90000,74
26,379000,379000,0
27,211000,189900,10
28,619000,123800,80
29,266000,266000,0
30,289999,289999,0
31,119999,59999,50
32,1050000,1050000,0
33,536999,161099,70
34,0,0,0
35,149999,89999,40
36,648999,648999,0
37,172700,172700,0
38,599000,599000,0
39,48999,14699,70
40,108999,54499,50
41,0,0,0
42,265000,132500,50
43,130999,130999,0
44,449999,134999,70
45,149999,74999,50
46,90999,90999,0
47,245999,245999,0
48,879000,527400,40
49,619000,92850,85
50,165999,149399,10
51,165999,165999,0
52,245999,245999,0
53,245999,245999,0
54,640000,640000,0
55,255999,255999,0
56,870000,609000,30
57,0,0,0
58,699000,699000,0
59,239999,239999,0
60,245999,245999,0
61,0,0,0
62,830999,830999,0
63,338999,338999,0
64,891000,891000,0
65,89999,89999,0
66,0,0,0
67,37999,37999,0
68,690000,138000,80
69,845999,676799,20
70,745000,745000,0
71,206999,206999,0
72,89999,89999,0
73,89999,31499,65
74,206999,103499,50
75,135999,135999,0
76,206999,206999,0
77,130000,45500,65
78,206999,206999,0
79,0,0,0
80,879000,879000,0
81,329999,329999,0
82,619000,92850,85
83,409000,122700,70
84,0,0,0
85,635999,381599,40
86,0,0,0
87,165999,165999,0
88,0,0,0
89,515000,515000,0
90,90999,90999,0
91,699000,699000,0
92,80999,52649,35
93,1043999,1043999,0
94,0,0,0
95,550000,550000,0
96,427000,341600,20
97,130999,104799,20
98,0,0,0
99,0,0,0
100,334999,334999,0
101,0,0,0
102,0,0,0
103,371999,167400,54
104,119999,119999,0
105,69999,69999,0
106,205000,205000,0
107,299000,299000,0
108,349000,69800,80
109,108999,87199,20
110,44999,44999,0
111,459000,459000,0
112,879000,527400,40
113,849000,849000,0
114,666499,666499,0
115,891000,891000,0
116,95999,95999,0
117,206999,186299,10
118,299999,299999,0
119,575000,575000,0
120,130999,130999,0
121,28999,28999,0
122,95999,95999,0
123,799000,799000,0
124,0,0,0
125,89999,89999,0
126,349000,349000,0
127,0,0,0
128,210000,63000,70
129,379999,379999,0
130,0,0,0
131,349999,349999,0
132,108999,108999,0
133,330000,330000,0
134,459000,160650,65
135,165999,129479,22
136,595999,595999,0
137,130999,130999,0
138,408000,408000,0
139,579000,579000,0
140,659000,659000,0
141,97000,97000,0
142,0,0,0
143,209999,209999,0
144,149999,149999,0
145,0,0,0
146,0,0,0
147,759000,759000,0
148,325000,65000,80
149,284999,284999,0
150,97000,97000,0
151,619000,92850,85
152,165999,165999,0
153,548900,548900,0
154,229000,34350,85
155,90999,90999,0
156,284999,284999,0
157,619000,123800,80
158,439999,439999,0
159,165999,82999,50
160,641000,641000,0
161,90999,72799,20
162,90999,72799,20
163,245999,245999,0
164,206999,206999,0
165,130999,39299,70
166,164900,164900,0
167,599000,599000,0
168,976000,107360,89
169,879000,879000,0
170,399999,399999,0
171,97000,97000,0
172,599000,599000,0
173,165999,165999,0
174,479000,479000,0
175,245999,245999,0
176,139999,139999,0
177,549000,549000,0
178,90999,90999,0
179,109999,109999,0
180,891000,891000,0
181,499000,149700,70
182,399999,399999,0
183,165999,165999,0
184,459000,68850,85
185,350000,350000,0
186,540999,540999,0
187,135999,13599,90
188,108999,108999,0
189,245999,245999,0
190,42999,42999,0
191,362000,362000,0
192,249999,249999,0
193,108999,76299,30
194,130999,98249,25
195,0,0,0
196,199000,199000,0
197,270000,270000,0
198,135999,135999,0
199,466084,466084,0
200,139999,139999,0
